Year,Round,Seed 1,Seed 2,Team 1,Team 2,TO 1,TO 2,GP 1,GP 2,Points 1,Points 2,Points Allowed 1,Points Allowed 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,3P 1,3P 2,Score 1,Score 2,Winner
2022,R1,1,16,Arizona,Wright State,13.2,12.3,34,35,2875,2659,2296,2498,84.6,76,67.5,71.4,91.2,61.8,35.4,32.9,87,70,Arizona
2022,R1,8,9,Seton Hall,TCU,12,14.5,31,32,2260,2179,2056,2080,72.9,68.1,66.3,65,67.7,62.5,34,30.4,42,69,TCU
2022,R1,5,12,Houston,UAB,11.3,11.5,34,34,2578,2743,2002,2254,75.8,80.7,58.9,66.3,85.3,79.4,34.1,38,82,68,Houston
2022,R1,4,13,Illinois ,Chattanooga,12.2,11,31,34,2349,2543,2097,2199,75.8,74.8,67.6,64.7,71,79.4,36.7,34.6,54,53,Illinois
2022,R1,6,11,Colorado State,Michigan,10.1,11.5,30,31,2212,2264,1972,2166,73.7,73,65.7,69.9,83.3,54.8,35.8,34,63,75,Michigan
2022,R1,3,14,Tennessee,Longwood,12.4,12.2,33,32,2415,2444,2071,2081,73.2,76.4,62.8,65,78.8,81.2,35.9,37.9,88,56,Tennessee
2022,R1,7,10,Ohio State,Loyola-Chicago,11,12.1,30,32,2214,2362,2054,1975,73.8,73.8,68.5,61.7,63.3,78.1,37.3,38.3,54,41,Ohio State
2022,R1,2,15,Villanova,Delaware,10,12.6,33,34,2397,2508,2082,2376,72.6,73.8,63.1,69.9,78.8,64.7,35.9,35.2,80,60,Villanova
2022,R1,1,16,Kansas,Texas Southern,12.5,14.9,34,31,2672,2153,2317,2032,78.6,69.5,68.1,65.5,82.4,60,35.5,31.6,83,56,Kansas
2022,R1,8,9,San Diego State,Creighton,12.7,14.1,31,33,2024,2278,1788,2176,65.3,69,57.7,65.9,74.2,66.7,35.8,30.7,69,72,Creighton
2022,R1,5,12,Iowa,Richmond,9.2,9.8,35,35,2932,2510,2495,2390,83.8,71.7,71.3,68.3,74.3,65.7,36.8,33.7,63,67,Richmond
2022,R1,4,13,Providence,South Dakota State,11.7,11,30,34,2154,2948,2010,2495,71.8,86.7,67,73.4,83.3,88.2,34.3,44.9,66,57,Providence
2022,R1,6,11,LSU,Iowa State,14.5,13.8,33,32,2413,2127,2097,2016,73.1,66.5,63.5,63,66.7,62.5,31.9,32.1,54,59,Iowa State
2022,R1,3,14,Wisconsin,Colgate,8.5,11.3,31,34,2192,2586,2063,2282,70.7,76.1,66.5,67.1,77.4,67.6,31.2,40.3,67,60,Wisconsin
2022,R1,7,10,USC,Miami (FL),12,9.6,33,33,2395,2469,2175,2344,72.6,74.8,65.9,71,78.8,69.7,36.1,35.3,66,68,Miami (FL)
2022,R1,2,15,Auburn,Jacksonville State,12.1,13.3,32,31,2519,2292,2145,2071,78.7,73.9,67,66.8,84.4,67.7,32,38.8,80,61,Auburn
2022,R2,1,9,Gonzaga,Memphis,11.8,16.4,30,32,2640,2402,1967,2173,88,75.1,65.6,67.9,89.7,67.7,37.9,35.9,82,78,Gonzaga
2022,R2,12,4,New Mexico State,Arkansas,14,12.6,33,34,2416,2614,2474,2333,73.2,76.9,75,68.6,81.2,75.8,32.7,30.7,48,53,Arkansas
2022,R2,11,3,Notre Dame,Texas Tech,10.3,13.9,34,35,2487,2535,2290,2113,73.1,72.4,67.4,60.4,68.8,73.5,38,31.4,53,59,Texas Tech
2022,R2,7,2,Michigan State,Duke,13.1,10.2,35,35,2525,2804,2400,2344,72.1,80.1,68.6,67,64.7,82.4,37.8,36.8,76,85,Duke
2022,R2,1,8,Baylor,North Carolina,12.5,11.7,33,34,2533,2653,2085,2430,76.8,78,63.2,71.5,81.2,72.7,34.6,36.2,86,93,North Carolina
2022,R2,5,4,Saint Mary's,UCLA,11.3,9.2,33,33,2314,2501,1989,2127,70.1,75.8,60.3,64.5,78.1,78.1,35,35.1,56,72,UCLA
2022,R2,6,3,Texas,Purdue,11.8,11.7,33,35,2268,2791,1981,2394,68.7,79.7,60,68.4,65.6,79.4,32.3,39.1,71,81,Purdue
2022,R2,7,15,Murray State,Saint Peter's,11.4,13.9,33,31,2630,2091,2080,1932,79.7,67.5,63,62.3,93.8,63.3,35.3,35.3,60,70,Saint Peter's 
2022,R2,1,9,Arizona,TCU,13.2,14.5,35,33,2962,2248,2366,2122,84.6,68.1,67.6,64.3,91.2,62.5,35.4,30.4,85,80,Arizona
2022,R2,5,4,Houston,Illinois,11.3,12.2,35,32,2660,2403,2070,2150,76,75.1,59.1,67.2,85.3,71,34.1,36.7,68,53,Houston
2022,R2,11,3,Michigan,Tennessee,11.5,12.4,32,34,2339,2503,2229,2127,73.1,73.6,69.7,62.6,54.8,78.8,34,35.9,76,68,Michigan
2022,R2,7,2,Ohio State,Villanova,11,10,31,34,2268,2477,2095,2142,73.2,72.9,67.6,63,63.3,78.8,37.3,35.9,61,71,Villanova
2022,R2,1,9,Kansas,Creighton,12.5,14.1,35,34,2755,2350,2373,2245,78.7,69.1,67.8,66,82.4,66.7,35.5,30.7,79,72,Kansas
2022,R2,12,4,Richmond,Providence,9.8,11.7,36,31,2577,2220,2453,2067,71.6,71.6,68.1,66.7,65.7,83.3,33.7,34.3,51,79,Providence
2022,R2,11,3,Iowa State,Wisconsin,13.8,8.5,33,32,2186,2259,2070,2123,66.2,70.6,62.7,66.3,62.5,77.4,32.1,31.2,54,49,Iowa State
2022,R2,10,2,Miami (FL),Auburn,9.6,12.1,34,33,2537,2599,2410,2206,74.6,78.8,70.9,66.8,69.7,84.4,35.3,32,79,61,Miami (FL)
2022,Sweet 16,1,4,Gonzaga,Arkansas,11.8,12.6,31,35,2722,2667,2045,2381,87.8,76.2,66,68,89.7,75.8,37.9,30.7,68,74,Arkansas
2022,Sweet 16,3,2,Texas Tech,Duke,13.9,10.2,36,36,2594,2889,2166,2420,72.1,80.3,60.2,67.2,73.5,82.4,31.4,36.8,73,78,Duke
2022,Sweet 16,8,4,North Carolina,UCLA,11.7,9.2,35,34,2746,2573,2523,2183,78.5,75.7,72.1,64.2,72.7,78.1,36.2,35.1,73,66,North Carolina
2022,Sweet 16,3,15,Purdue,Saint Peter's,11.7,13.9,36,32,2872,2161,2465,1992,79.8,67.5,68.5,62.3,79.4,63.3,39.1,35.3,64,67,Saint Peter’s 
2022,Sweet 16,1,5,Arizona,Houston,13.2,11.3,36,36,3047,2728,2446,2123,84.6,75.8,67.9,59,91.2,85.3,35.4,34.1,60,72,Houston
2022,Sweet 16,11,2,Michigan,Villanova,11.5,10,33,35,2415,2548,2297,2203,73.2,72.8,69.6,62.9,54.8,78.8,34,35.9,55,63,Villanova
2022,Sweet 16,1,4,Kansas,Providence,12.5,11.7,36,32,2834,2299,2445,2118,78.7,71.8,67.9,66.2,82.4,83.3,35.5,34.3,66,61,Kansas
2022,Sweet 16,11,10,Iowa State,Miami (FL),13.8,9.6,34,35,2240,2616,2119,2471,65.9,74.7,62.3,70.6,62.5,69.7,32.1,35.3,56,70,Miami (FL)
2022,Elite 8,4,2,Arkansas,Duke,12.6,10.2,36,37,2741,2967,2449,2493,76.1,80.2,68,67.4,75.8,82.4,30.7,36.8,69,78,Duke
2022,Elite 8,8,15,North Carolina,Saint Peter’s,11.7,13.9,36,33,2819,2228,2589,2056,78.3,67.5,71.9,62.3,72.7,63.3,36.2,35.3,69,49,North Carolina
2022,Elite 8,5,2,Houston,Villanova,11.3,10,37,36,2800,2611,2183,2258,75.7,72.5,59,62.7,85.3,78.8,34.1,35.9,44,50,Villanova
2022,Elite 8,1,10,Kansas,Miami (FL),12.5,9.6,37,36,2900,2686,2506,2527,78.4,74.6,67.7,70.2,82.4,69.7,35.5,35.3,76,50,Kansas
2022,Final 4,2,8,Duke,North Carolina,10.2,11.7,38,37,3045,2888,2562,2638,80.1,78.1,67.4,71.3,82.4,72.7,36.8,36.2,77,81,North Carolina
2022,Final 4,2,1,Villanova,Kansas,10,12.5,37,38,2661,2976,2302,2556,71.9,78.3,62.2,67.3,78.8,82.4,35.9,35.5,65,81,Kansas
2022,Championship,8,1,North Carolina,Kansas,11.7,12.5,38,38,2969,3057,2715,2621,78.1,80.4,71.4,69,72.7,82.4,36.2,35.5,69,72,Kansas
2024,First Four,16,16,Howard,Wagner,15.7,10,34,31,2555,1970,2529,1925,75.1,63.5,74.4,62.1,52.9,51.6,37.4,32.2,68,71,Wagner
