,Year,Round,Seed 1,Seed 2,Team 1,Team 2,TO 1,TO 2,GP 1,GP 2,Points 1,Points 2,Points Allowed 1,Points Allowed 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,3P 1,3P 2,Score 1,Score 2,Winner
46,2023,R2,11,3,Pittsburgh,Xavier,11.2,12.6,35,35,2631,2840,2426,2585,75.2,81.1,69.3,73.9,66.7,73.5,36,39.5,73,84,Xavier
47,2023,R2,10,2,Penn State,Texas,9,11.7,36,35,2607,2728,2453,2353,72.4,77.9,68.1,67.2,62.9,76.5,38.5,33.9,66,71,Texas
48,2023,R2,1,8,Kansas,Arkansas,12.4,12.9,35,34,2644,2529,2378,2287,75.5,74.4,67.9,67.3,79.4,60.6,34.4,31.7,71,72,Arkansas
49,2023,R2,5,4,Saint Mary’s,UConn,10.7,12.9,34,34,2418,2676,2035,2209,71.1,78.7,59.9,65,78.8,75.8,37.2,35.7,55,70,UConn
50,2023,R2,6,3,TCU,Gonzaga,12.2,10.6,34,34,2553,2970,2311,2476,75.1,87.4,68,72.8,63.6,84.8,30.6,38.7,81,84,Gonzaga
51,2023,R2,7,2,Northwestern,UCLA,9.8,10.3,33,35,2240,2599,2066,2103,67.9,74.3,62.6,60.1,65.6,85.3,32.1,34.7,63,68,UCLA
52,2023,Sweet 16,1,5,Alabama,San Diego State,14.1,11.8,36,35,2963,2516,2455,2208,82.3,71.9,68.2,63.1,85.3,81.8,33.8,35.3,64,71,San Diego State
53,2023,Sweet 16,6,15,Creighton,Princeton,11.6,12.4,35,31,2686,2331,2399,2106,76.7,75.2,68.5,67.9,63.6,72.4,36,34.4,86,75,Creighton
54,2023,Sweet 16,9,4,Florida Atlantic,Tennessee,11.8,12.1,36,35,2823,2492,2344,2022,78.4,71.2,65.1,57.8,91.2,69.7,37.2,32.9,62,55,Florida Atlantic
55,2023,Sweet 16,3,7,Kansas State,Michigan State,14.3,10.9,34,33,2568,2318,2349,2211,75.5,70.2,69.1,67,71.9,61.3,34,39.5,98,93,Kansas State
56,2023,Sweet 16,1,5,Houston,Miami (FL),9.9,11.3,36,34,2695,2689,2037,2433,74.9,79.1,56.6,71.6,91.2,78.1,34.5,36.8,75,89,Miami (FL)
57,2023,Sweet 16,3,2,Xavier,Texas,12.6,11.7,36,36,2924,2799,2658,2419,81.2,77.8,73.8,67.2,73.5,76.5,39.5,33.9,71,83,Texas
58,2023,Sweet 16,8,4,Arkansas,UConn,12.9,12.9,35,35,2601,2746,2358,2264,74.3,78.5,67.4,64.7,60.6,75.8,31.7,35.7,65,88,UConn
59,2023,Sweet 16,3,2,Gonzaga,UCLA,10.6,10.3,35,36,3054,2667,2557,2166,87.3,74.1,73.1,60.2,84.8,85.3,38.7,34.7,79,76,Gonzaga
60,2023,Elite 8,5,6,San Diego State,Creighton,11.8,11.6,36,36,2587,2772,2272,2474,71.9,77,63.1,68.7,81.8,63.6,35.3,36,57,56,San Diego State
61,2023,Elite 8,9,3,Florida Atlantic,Kansas State,11.8,14.3,37,35,2885,2666,2399,2442,78,76.2,64.8,69.8,91.2,71.9,37.2,34,79,76,Florida Atlantic
62,2023,Elite 8,5,2,Miami (FL),Texas,11.3,11.7,35,37,2778,2882,2508,2490,79.4,77.9,71.7,67.3,78.1,76.5,36.8,33.9,88,81,Miami (FL)
63,2023,Elite 8,4,3,UConn,Gonzaga,12.9,10.6,36,36,2834,3133,2329,2633,78.7,87,64.7,73.1,75.8,84.8,35.7,38.7,82,54,UConn
64,2023,Final 4,5,9,San Diego State,Florida Atlantic,11.8,11.8,37,38,2644,2964,2328,2475,71.5,78,62.9,65.1,81.8,91.2,35.3,37.2,72,71,San Diego State
65,2023,Final 4,5,4,Miami (FL),UConn,11.3,12.9,36,37,2866,2916,2589,2383,79.6,78.8,71.9,64.4,78.1,75.8,36.8,35.7,59,72,UConn
66,2023,Championship,5,4,San Diego State,UConn,11.8,12.9,38,38,2716,2988,2399,2442,71.5,78.6,63.1,64.3,81.8,75.8,35.3,35.7,59,76,UConn
67,2022,First Four,16,16,Texas Southern,Texas A&M-CC,14.9,14.2,30,34,2077,2615,1965,2378,69.2,76.9,65.5,69.9,60,67.6,31.6,33.5,76,67,Texas Southern
68,2022,First Four,12,12,Wyoming,Indiana,11.1,11.9,33,33,2408,2359,2161,2176,73,71.5,65.5,65.9,75.8,60.6,34.3,33.9,58,66,Indiana
69,2022,First Four,16,16,Wright State,Bryant,12.3,13.9,34,31,2566,2415,2416,2255,75.5,77.9,71.1,72.7,61.8,71,32.9,30.8,93,82,Wright State
70,2022,First Four,11,11,Rutgers,Notre Dame,11.5,10.3,31,32,2105,2320,2040,2139,67.9,72.5,65.8,66.8,58.1,68.8,33.6,38,87,89,Notre Dame
71,2022,R1,1,16,Gonzaga,Georgia State,11.8,11.9,29,28,2547,1977,1895,1813,87.8,70.6,65.3,64.8,89.7,64.3,37.9,32.9,93,72,Gonzaga
72,2022,R1,8,9,Boise State,Memphis,12.1,16.4,34,31,2336,2338,2066,2120,68.7,75.4,60.8,68.4,79.4,67.7,34.8,35.9,53,64,Memphis
73,2022,R1,5,12,UConn,New Mexico State,11.9,14,32,32,2406,2346,2085,2411,75.2,73.3,65.2,75.3,71.9,81.2,35.3,32.7,63,70,New Mexico State
74,2022,R1,4,13,Arkansas,Vermont,12.6,9.7,33,33,2539,2473,2262,1990,76.9,74.9,68.5,60.3,75.8,84.8,30.7,36.4,75,71,Arkansas
75,2022,R1,6,11,Alabama,Notre Dame,14.6,10.3,32,33,2559,2409,2445,2226,80,73,76.4,67.5,59.4,68.8,30.8,38,64,78,Notre Dame
76,2022,R1,3,14,Texas Tech,Montana State,13.9,12.8,34,34,2438,2617,2051,2328,71.7,77,60.3,68.5,73.5,79.4,31.4,36.9,97,62,Texas Tech
77,2022,R1,7,10,Michigan State,Davidson,13.1,9.8,34,33,2451,2494,2327,2170,72.1,75.6,68.4,65.8,64.7,81.8,37.8,38.6,74,73,Michigan State
78,2022,R1,2,15,Duke,CSU Fullerton,10.2,12.3,34,31,2726,2178,2283,2051,80.2,70.3,67.1,66.2,82.4,67.7,36.8,33,78,61,Duke
79,2022,R1,1,16,Baylor,Norfolk State,12.5,14,32,30,2448,2253,2036,1912,76.5,75.1,63.6,63.7,81.2,80,34.6,34.8,85,49,Baylor
80,2022,R1,8,9,North Carolina,Marquette,11.7,12.5,33,31,2558,2306,2367,2197,77.5,74.4,71.7,70.9,72.7,61.3,36.2,34.7,95,63,North Carolina
